"","id","face","type","roi","beta"
"202","011","F2","diag","chdiagdiff_HC_l",0.01296
"203","011","F2","diag","F2diagdiff_insula_l",-0.0824882
"204","011","F2","diag","undiagdiff_IFG_l",-0.147332
"205","011","F2","diag","undiagdiff_insula_l",-0.10497
"206","011","F2","diag","undiagdiff_insula_r",-0.0600469
"207","011","F2","diag","undiagdiff_IPL_l",-0.133965
"208","011","F2","diag","undiagdiff_precuneus",-0.232934
"209","011","F2","diagdiff","chdiag_PCG_l",0.0173291
"210","011","F2","diagdiff","chdiagdiff_HC_l",-0.106288
"211","011","F2","diagdiff","F2diagdiff_insula_l",-0.111091
"212","011","F2","diagdiff","undiagdiff_IFG_l",-0.0171253
"213","011","F2","diagdiff","undiagdiff_insula_l",-0.11013
"214","011","F2","diagdiff","undiagdiff_insula_r",-0.0645723
"215","011","F2","diagdiff","undiagdiff_IPL_l",0.103439
"216","011","F2","diagdiff","undiagdiff_precuneus",0.0969313
"217","015","F1","diag","chdiag_PCG_l",-0.0358537
"218","015","F1","diag","chdiagdiff_HC_l",0.0293243
"219","015","F1","diag","F2diagdiff_insula_l",0.018832
"220","015","F1","diag","undiagdiff_IFG_l",-0.0181815
"221","015","F1","diag","undiagdiff_insula_l",0.0269898
"222","015","F1","diag","undiagdiff_insula_r",0.00198983
"223","015","F1","diag","undiagdiff_IPL_l",-0.00520647
"224","015","F1","diag","undiagdiff_precuneus",0.0489063
"225","015","F2","diag","chdiag_PCG_l",0.0067088
"226","015","F2","diag","chdiagdiff_HC_l",0.0336808
"227","015","F2","diag","F2diagdiff_insula_l",0.0624801
"228","015","F2","diag","undiagdiff_IFG_l",0.0220391
"229","015","F2","diag","undiagdiff_insula_l",0.0626461
"230","015","F2","diag","undiagdiff_insula_r",0.0752889
"231","015","F2","diag","undiagdiff_IPL_l",0.0224378
"232","015","F2","diag","undiagdiff_precuneus",-0.0305424
"233","015","F2","diagdiff","chdiag_PCG_l",0.0925497
"234","015","F2","diagdiff","chdiagdiff_HC_l",-0.0606955
"235","015","F2","diagdiff","F2diagdiff_insula_l",0.00872444
"236","015","F2","diagdiff","undiagdiff_IFG_l",-0.0337024
"237","015","F2","diagdiff","undiagdiff_insula_l",0.017274
"238","015","F2","diagdiff","undiagdiff_insula_r",0.0771624
"239","015","F2","diagdiff","undiagdiff_IPL_l",0.00632107
"240","015","F2","diagdiff","undiagdiff_precuneus",0.0252603
"241","017","F1","diag","chdiag_PCG_l",-0.0454142
"242","017","F1","diag","chdiagdiff_HC_l",-0.0696305
"243","017","F1","diag","F2diagdiff_insula_l",-0.0660092
"244","017","F1","diag","undiagdiff_IFG_l",-0.16622
"245","017","F1","diag","undiagdiff_insula_l",-0.0933898
"246","017","F1","diag","undiagdiff_insula_r",-0.0728795
"247","017","F1","diag","undiagdiff_IPL_l",-0.172638
"248","017","F1","diag","undiagdiff_precuneus",-0.0947509
"249","017","F2","diag","chdiag_PCG_l",0.145091
"250","017","F2","diag","chdiagdiff_HC_l",0.0864302
"251","017","F2","diag","F2diagdiff_insula_l",-0.00947329
"252","017","F2","diag","undiagdiff_IFG_l",-0.0410089
"253","017","F2","diag","undiagdiff_insula_l",-0.0255754
"254","017","F2","diag","undiagdiff_insula_r",-0.00475503
"255","017","F2","diag","undiagdiff_IPL_l",-0.040894
"256","017","F2","diag","undiagdiff_precuneus",0.100833
"257","017","F2","diagdiff","chdiag_PCG_l",-0.0397556
"258","017","F2","diagdiff","chdiagdiff_HC_l",-0.118015
"259","017","F2","diagdiff","F2diagdiff_insula_l",0.111254
"260","017","F2","diagdiff","undiagdiff_IFG_l",0.152478
"261","017","F2","diagdiff","undiagdiff_insula_l",0.143135
"262","017","F2","diagdiff","undiagdiff_insula_r",-0.0725513
"263","017","F2","diagdiff","undiagdiff_IPL_l",0.00302214
"264","017","F2","diagdiff","undiagdiff_precuneus",-0.14403
"265","018","F1","diag","chdiag_PCG_l",0.0114503
"266","018","F1","diag","chdiagdiff_HC_l",-0.0611385
"267","018","F1","diag","F2diagdiff_insula_l",-0.0256919
"268","018","F1","diag","undiagdiff_IFG_l",-0.0340489
"269","018","F1","diag","undiagdiff_insula_l",-0.0197174
"270","018","F1","diag","undiagdiff_insula_r",-0.0106109
"271","018","F1","diag","undiagdiff_IPL_l",-0.0891173
"272","018","F1","diag","undiagdiff_precuneus",-0.111158
"273","018","F2","diag","chdiag_PCG_l",-0.0346094
"274","018","F2","diag","chdiagdiff_HC_l",-0.00457857
"275","018","F2","diag","F2diagdiff_insula_l",-0.0118276
"276","018","F2","diag","undiagdiff_IFG_l",-0.00439074
"277","018","F2","diag","undiagdiff_insula_l",-0.0136732
"278","018","F2","diag","undiagdiff_insula_r",-0.0193071
"279","018","F2","diag","undiagdiff_IPL_l",-0.0420241
"280","018","F2","diag","undiagdiff_precuneus",0.0101244
"281","018","F2","diagdiff","chdiag_PCG_l",0.0896222
"282","018","F2","diagdiff","chdiagdiff_HC_l",-0.116549
"283","018","F2","diagdiff","F2diagdiff_insula_l",-0.115038
"284","018","F2","diagdiff","undiagdiff_IFG_l",-0.120059
"285","018","F2","diagdiff","undiagdiff_insula_l",-0.107124
"286","018","F2","diagdiff","undiagdiff_insula_r",-0.158181
"287","018","F2","diagdiff","undiagdiff_IPL_l",-0.139726
"288","018","F2","diagdiff","undiagdiff_precuneus",-0.121694
"289","019","F1","diag","chdiag_PCG_l",0.0100746
"290","019","F1","diag","chdiagdiff_HC_l",-0.0500277
"291","019","F1","diag","F2diagdiff_insula_l",0.0558378
"292","019","F1","diag","undiagdiff_IFG_l",0.0264129
"293","019","F1","diag","undiagdiff_insula_l",0.058741
"294","019","F1","diag","undiagdiff_insula_r",0.0533104
"295","019","F1","diag","undiagdiff_IPL_l",0.0614963
"296","019","F1","diag","undiagdiff_precuneus",-0.0331496
"297","019","F2","diag","chdiag_PCG_l",-0.117383
"298","019","F2","diag","chdiagdiff_HC_l",-0.227806
"299","019","F2","diag","F2diagdiff_insula_l",-0.0334757
"300","019","F2","diag","undiagdiff_IFG_l",-0.0614296
"301","019","F2","diag","undiagdiff_insula_l",-0.0568734
"302","019","F2","diag","undiagdiff_insula_r",-0.068709
"303","019","F2","diag","undiagdiff_IPL_l",-0.0518288
"304","019","F2","diag","undiagdiff_precuneus",-0.30256
"305","019","F2","diagdiff","chdiag_PCG_l",0.0169405
"306","019","F2","diagdiff","chdiagdiff_HC_l",0.103297
"307","019","F2","diagdiff","F2diagdiff_insula_l",-0.103586
"308","019","F2","diagdiff","undiagdiff_IFG_l",-0.0765568
"309","019","F2","diagdiff","undiagdiff_insula_l",-0.0643888
"310","019","F2","diagdiff","undiagdiff_insula_r",0.00409981
"311","019","F2","diagdiff","undiagdiff_IPL_l",-0.00605097
"312","019","F2","diagdiff","undiagdiff_precuneus",0.21312
"313","021","F1","diag","chdiag_PCG_l",0.0493187
"314","021","F1","diag","chdiagdiff_HC_l",0.0345978
"315","021","F1","diag","F2diagdiff_insula_l",0.10597
"316","021","F1","diag","undiagdiff_IFG_l",0.0623559
"317","021","F1","diag","undiagdiff_insula_l",0.105139
"318","021","F1","diag","undiagdiff_insula_r",0.122896
"319","021","F1","diag","undiagdiff_IPL_l",0.0277295
"320","021","F1","diag","undiagdiff_precuneus",0.0245127
"321","021","F2","diag","chdiag_PCG_l",0.141897
"322","021","F2","diag","chdiagdiff_HC_l",0.0835534
"323","021","F2","diag","F2diagdiff_insula_l",0.0726019
"324","021","F2","diag","undiagdiff_IFG_l",0.131147
"325","021","F2","diag","undiagdiff_insula_l",0.0668778
"326","021","F2","diag","undiagdiff_insula_r",0.0943618
"327","021","F2","diag","undiagdiff_IPL_l",0.0430988
"328","021","F2","diag","undiagdiff_precuneus",0.0775974
"329","021","F2","diagdiff","chdiag_PCG_l",-0.0828647
"330","021","F2","diagdiff","chdiagdiff_HC_l",-0.0316147
"331","021","F2","diagdiff","F2diagdiff_insula_l",-0.0442119
"332","021","F2","diagdiff","undiagdiff_IFG_l",-0.0712573
