,id,face,type,roi,beta
339,6,F1,irrel,chrel_putamen_l,-0.0177776
353,6,F1,rel,chrel_putamen_l,0.0187975
367,6,F2,D,chrel_putamen_l,-0.0117332
381,6,F2,I,chrel_putamen_l,0.02684
395,6,F2,irrel,chrel_putamen_l,0.032204
409,6,F2,rel,chrel_putamen_l,-0.0448252
423,7,F1,irrel,chrel_putamen_l,-0.0582955
437,7,F1,rel,chrel_putamen_l,0.0164308
451,7,F2,D,chrel_putamen_l,0.0823568
465,7,F2,I,chrel_putamen_l,-0.066172
479,7,F2,irrel,chrel_putamen_l,-0.00973286
493,7,F2,rel,chrel_putamen_l,-0.0780507
507,9,F1,irrel,chrel_putamen_l,0.0326392
521,9,F1,rel,chrel_putamen_l,-0.0192826
535,9,F2,D,chrel_putamen_l,0.0900844
549,9,F2,I,chrel_putamen_l,0.0157174
563,9,F2,irrel,chrel_putamen_l,0.0353004
577,9,F2,rel,chrel_putamen_l,0.0146566
591,10,F1,irrel,chrel_putamen_l,-0.114892
605,10,F1,rel,chrel_putamen_l,-0.00884573
619,10,F2,D,chrel_putamen_l,0.182814
633,10,F2,I,chrel_putamen_l,-0.0435315
647,10,F2,irrel,chrel_putamen_l,-0.0212274
661,10,F2,rel,chrel_putamen_l,-0.0723015
675,11,F1,irrel,chrel_putamen_l,-0.00747061
689,11,F1,rel,chrel_putamen_l,0.0253838
703,11,F2,D,chrel_putamen_l,0.0300427
717,11,F2,I,chrel_putamen_l,-0.0821788
731,11,F2,irrel,chrel_putamen_l,0.0244325
745,11,F2,rel,chrel_putamen_l,0.006791
759,15,F1,irrel,chrel_putamen_l,0.0257622
773,15,F1,rel,chrel_putamen_l,-0.0220816
787,15,F2,D,chrel_putamen_l,0.016058
801,15,F2,I,chrel_putamen_l,0.0369853
815,15,F2,irrel,chrel_putamen_l,0.0446532
829,15,F2,rel,chrel_putamen_l,-0.0291527
843,17,F1,irrel,chrel_putamen_l,0.0370528
857,17,F1,rel,chrel_putamen_l,0.0242102
871,17,F2,D,chrel_putamen_l,-0.0322666
885,17,F2,I,chrel_putamen_l,0.093371
899,17,F2,irrel,chrel_putamen_l,0.00365687
