"","seq","blockrb","sub","RT","resp","correct","D","I","E","Manhatton","F1_relevant_rank","F1_irrelevant_rank","F2_relevant_rank","F2_irrelevant_rank","rel","irrel","diag1","diag2","diagdiff"
"464",464,6,4,1.5424404,2,2,2,1,2.2361,3,3,4,1,3,-2,-1,2.121320344,4.242640687,2.1213
"465",465,6,4,0.9278515,1,1,1,3,3.1623,4,2,1,3,4,1,3,4.949747468,2.121320344,2.8284
"466",466,6,4,0.5084067,1,1,1,2,2.2361,3,1,4,2,2,1,-2,3.535533906,4.242640687,0.7071
"467",467,6,4,0.4320283,1,1,2,3,3.6056,5,1,4,3,1,2,-3,3.535533906,4.242640687,0.7071
"468",468,6,4,0.351816,2,2,2,1,2.2361,3,4,2,2,3,-2,1,2.828427125,3.535533906,0.7071
"469",469,6,4,1.9837494,1,1,2,2,2.8284,4,2,3,4,1,2,-2,3.535533906,3.535533906,0
"470",470,6,4,0.5340223,1,1,2,1,2.2361,3,1,3,3,2,2,-1,4.242640687,3.535533906,0.7071
"471",471,6,4,0.2698457,1,1,2,1,2.2361,3,1,4,3,3,2,-1,3.535533906,2.828427125,0.7071
"472",472,6,4,0.5221772,1,1,3,2,3.6056,5,1,2,4,4,3,2,4.949747468,1.414213562,3.5355
"473",473,6,4,2.0000827,NA,2,2,1,2.2361,3,3,2,1,3,-2,1,3.535533906,4.242640687,0.7071
"474",474,6,4,0.908229,2,1,1,2,2.2361,3,3,1,4,3,1,2,4.242640687,2.121320344,2.1213
"475",475,6,4,0.6215157,2,2,3,3,4.2426,6,4,4,1,1,-3,-3,1.414213562,5.656854249,4.2426
"476",476,6,4,0.414388,1,1,1,3,3.1623,4,1,4,2,1,1,-3,3.535533906,4.949747468,1.4142
"477",477,6,4,0.9565374,1,1,1,1,1.4142,2,2,2,3,3,1,1,4.242640687,2.828427125,1.4142
"478",478,6,4,1.0889517,1,1,1,1,1.4142,2,2,4,3,3,1,-1,2.828427125,2.828427125,0
"479",479,6,4,0.5121162,2,2,1,1,1.4142,2,4,2,3,1,-1,-1,2.828427125,4.242640687,1.4142
"480",480,6,4,0.6581092,1,1,3,2,3.6056,5,1,1,4,3,3,2,5.656854249,2.121320344,3.5355
"481",481,1,6,2.000156,NA,1,2,3,3.6056,5,2,4,4,1,2,-3,2.828427125,3.535533906,0.7071
"482",482,1,6,2.0001341,NA,1,1,3,3.1623,4,1,4,2,1,1,-3,3.535533906,4.949747468,1.4142
"483",483,1,6,2.0001013,NA,2,1,1,1.4142,2,4,1,3,2,-1,1,3.535533906,3.535533906,0
"484",484,1,6,0.9627798,2,2,2,2,2.8284,4,3,1,1,3,-2,2,4.242640687,4.242640687,0
"485",485,1,6,0.3871396,1,1,1,1,1.4142,2,1,2,2,1,1,-1,4.949747468,4.949747468,0
"486",486,1,6,2.0001601,NA,1,2,1,2.2361,3,2,2,4,3,2,1,4.242640687,2.121320344,2.1213
"487",487,1,6,1.1388456,1,1,2,1,2.2361,3,2,3,4,2,2,-1,3.535533906,2.828427125,0.7071
"488",488,1,6,0.4961025,2,2,1,2,2.2361,3,4,2,3,4,-1,2,2.828427125,2.121320344,0.7071
"489",489,1,6,0.4167572,1,1,3,3,4.2426,6,1,4,4,1,3,-3,3.535533906,3.535533906,0
"490",490,1,6,0.26733,1,1,3,1,3.1623,4,1,3,4,2,3,-1,4.242640687,2.828427125,1.4142
"491",491,1,6,1.1910506,1,1,2,1,2.2361,3,2,2,4,1,2,-1,4.242640687,3.535533906,0.7071
"492",492,1,6,2.0003905,NA,1,1,3,3.1623,4,2,1,3,4,1,3,4.949747468,2.121320344,2.8284
"493",493,1,6,2.0007183,NA,1,1,1,1.4142,2,3,2,4,1,1,-1,3.535533906,3.535533906,0
"494",494,1,6,0.4637673,1,1,2,1,2.2361,3,1,2,3,1,2,-1,4.949747468,4.242640687,0.7071
"495",495,1,6,1.3298946,2,2,1,1,1.4142,2,4,4,3,3,-1,-1,1.414213562,2.828427125,1.4142
"496",496,1,6,1.1564583,1,2,2,3,3.6056,5,3,4,1,1,-2,-3,2.121320344,5.656854249,3.5355
"497",497,1,6,1.3781754,1,1,1,1,1.4142,2,2,4,3,3,1,-1,2.828427125,2.828427125,0
"498",498,1,6,0.3848588,1,1,3,2,3.6056,5,1,2,4,4,3,2,4.949747468,1.414213562,3.5355
"499",499,1,6,2.0001001,NA,2,1,1,1.4142,2,3,2,2,3,-1,1,3.535533906,3.535533906,0
"500",500,1,6,1.4923304,2,2,1,3,3.1623,4,3,1,2,4,-1,3,4.242640687,2.828427125,1.4142
"501",501,2,6,2.0000109,NA,1,2,1,2.2361,3,2,4,4,3,2,-1,2.828427125,2.121320344,0.7071
"502",502,2,6,1.361389,1,1,1,2,2.2361,3,3,3,4,1,1,-2,2.828427125,3.535533906,0.7071
"503",503,2,6,1.6677317,2,2,1,1,1.4142,2,3,1,2,2,-1,1,4.242640687,4.242640687,0
"504",504,2,6,1.0742637,1,2,2,1,2.2361,3,3,1,1,2,-2,1,4.242640687,4.949747468,0.7071
"505",505,2,6,0.9499218,1,1,2,2,2.8284,4,1,2,3,4,2,2,4.949747468,2.121320344,2.8284
"506",506,2,6,1.9296683,2,2,1,2,2.2361,3,2,2,1,4,-1,2,4.242640687,3.535533906,0.7071
"507",507,2,6,0.5059562,1,1,3,2,3.6056,5,1,1,4,3,3,2,5.656854249,2.121320344,3.5355
"508",508,2,6,0.6553019,2,2,3,2,3.6056,5,4,2,1,4,-3,2,2.828427125,3.535533906,0.7071
"509",509,2,6,1.9643249,1,1,1,1,1.4142,2,2,2,3,1,1,-1,4.242640687,4.242640687,0
"510",510,2,6,1.2508895,1,1,1,3,3.1623,4,2,4,3,1,1,-3,2.828427125,4.242640687,1.4142
"511",511,2,6,2.0000845,NA,1,1,3,3.1623,4,3,4,4,1,1,-3,2.121320344,3.535533906,1.4142
"512",512,2,6,2.0000119,NA,1,1,1,1.4142,2,3,3,4,2,1,-1,2.828427125,2.828427125,0
"513",513,2,6,1.3206843,1,1,2,1,2.2361,3,2,3,4,4,2,1,3.535533906,1.414213562,2.1213
"514",514,2,6,1.3203585,2,2,2,1,2.2361,3,3,2,1,1,-2,-1,3.535533906,5.656854249,2.1213
"515",515,2,6,0.7714745,2,2,2,1,2.2361,3,4,4,2,3,-2,-1,1.414213562,3.535533906,2.1213
"516",516,2,6,0.417019,2,2,2,1,2.2361,3,4,3,2,4,-2,1,2.121320344,2.828427125,0.7071
"517",517,2,6,1.4657643,1,1,1,1,1.4142,2,3,1,4,2,1,1,4.242640687,2.828427125,1.4142
"518",518,2,6,0.5888608,1,1,3,1,3.1623,4,1,2,4,1,3,-1,4.949747468,3.535533906,1.4142
"519",519,2,6,1.469625,2,2,1,1,1.4142,2,2,1,1,2,-1,1,4.949747468,4.949747468,0
"520",520,2,6,1.6256917,1,1,1,2,2.2361,3,2,3,3,1,1,-2,3.535533906,4.242640687,0.7071
"521",521,3,6,2.0000683,NA,1,2,2,2.8284,4,2,4,4,2,2,-2,2.828427125,2.828427125,0
"522",522,3,6,1.0634042,2,2,1,1,1.4142,2,3,2,2,1,-1,-1,3.535533906,4.949747468,1.4142
"523",523,3,6,0.6328746,1,1,3,1,3.1623,4,1,4,4,3,3,-1,3.535533906,2.121320344,1.4142
"524",524,3,6,0.3868918,1,1,2,1,2.2361,3,1,3,3,2,2,-1,4.242640687,3.535533906,0.7071
"525",525,3,6,1.3188114,2,2,1,1,1.4142,2,3,3,2,2,-1,-1,2.828427125,4.242640687,1.4142
"526",526,3,6,1.1256867,2,2,1,1,1.4142,2,2,2,1,1,-1,-1,4.242640687,5.656854249,1.4142
"527",527,3,6,0.4904993,1,1,3,3,4.2426,6,1,1,4,4,3,3,5.656854249,1.414213562,4.2426
"528",528,3,6,0.6603635,1,1,1,1,1.4142,2,1,4,2,3,1,-1,3.535533906,3.535533906,0
"529",529,3,6,1.8005606,2,2,2,3,3.6056,5,3,1,1,4,-2,3,4.242640687,3.535533906,0.7071
"530",530,3,6,1.0193391,2,2,1,1,1.4142,2,3,1,2,2,-1,1,4.242640687,4.242640687,0
"531",531,3,6,0.6699292,1,1,3,1,3.1623,4,1,4,4,3,3,-1,3.535533906,2.121320344,1.4142
"532",532,3,6,1.4443507,1,1,2,1,2.2361,3,2,1,4,2,2,1,4.949747468,2.828427125,2.1213
"533",533,3,6,1.3615792,2,2,1,3,3.1623,4,2,1,1,4,-1,3,4.949747468,3.535533906,1.4142
"534",534,3,6,1.4227828,2,2,1,1,1.4142,2,2,3,1,4,-1,1,3.535533906,3.535533906,0
"535",535,3,6,0.7212644,2,2,3,1,3.1623,4,4,4,1,3,-3,-1,1.414213562,4.242640687,2.8284
"536",536,3,6,1.3347188,2,2,2,1,2.2361,3,3,4,1,3,-2,-1,2.121320344,4.242640687,2.1213
"537",537,3,6,0.8461464,2,2,2,2,2.8284,4,4,1,2,3,-2,2,3.535533906,3.535533906,0
"538",538,3,6,2.0000936,NA,1,1,3,3.1623,4,2,4,3,1,1,-3,2.828427125,4.242640687,1.4142
