,run,id,block,RTmean
377,1,23,14,4.52045933
378,1,23,15,2.472606934
379,1,23,16,3.293319367
380,1,23,17,3.246810417
381,1,24,1,6.696739793
382,1,24,2,4.70600559
383,1,24,3,4.457048657
384,1,24,4,3.892565843
385,1,24,5,4.037317738
386,1,24,6,2.71867728
387,1,24,7,3.393950575
388,1,24,8,3.007037778
389,1,24,9,2.831927375
390,1,24,10,3.558727034
391,1,24,11,5.151282099
392,1,24,12,4.652807889
393,1,24,13,4.002832281
394,1,24,14,4.132282276
395,1,24,15,4.598185201
396,1,24,16,3.829483331
397,1,24,17,3.300462949
398,1,24,18,2.840104413
399,1,25,1,4.352242697
400,1,25,2,2.460497063
401,1,25,3,2.747931475
402,1,25,4,5.185380553
403,1,25,5,6.590269928
404,1,25,6,3.871194194
405,1,25,7,4.812602166
406,1,25,8,4.576974341
407,1,25,9,4.06995141
408,1,25,10,3.315700085
409,1,25,11,3.873084621
410,1,25,12,3.641550465
411,1,25,13,1.968846718
412,1,25,14,4.635680837
413,1,25,15,3.701562227
414,1,25,16,2.507491808
415,1,25,17,4.204617973
416,1,25,18,3.40493021
417,1,25,19,3.374722433
418,1,25,20,3.8832572
419,1,26,1,1.422962415
420,1,26,2,1.849875376
421,1,26,3,1.903230839
422,1,26,4,1.693013359
423,1,26,5,1.657918
424,1,26,6,1.664964106
425,1,26,7,1.705992322
426,1,26,8,1.7828249
427,1,26,9,1.654702517
428,1,26,10,1.747781889
429,1,26,11,1.680165999
430,1,26,12,1.82549221
431,1,26,13,2.177638418
432,1,26,14,2.374028088
433,1,26,15,2.239799507
434,1,26,16,2.093246521
435,1,26,17,2.240603813
436,1,26,18,2.032681771
437,1,26,19,2.078601473
438,1,26,20,2.194656358
439,1,26,21,1.866665023
440,1,26,22,2.286156973
441,1,26,23,1.77546527
442,1,26,24,2.028652567
443,1,26,25,1.13215158
444,1,26,26,1.209916032
445,1,26,27,1.069838616
446,1,26,28,1.090157315
448,1,27,2,9.652273707
449,1,27,3,3.750939331
450,1,27,4,4.212426613
451,1,27,5,3.908875058
452,1,27,6,3.250264737
453,1,27,7,2.314562536
454,1,27,8,2.097105613
455,1,27,9,2.171050024
456,1,27,10,2.460175432
457,1,27,11,2.434653877
458,1,27,12,2.378985256
459,1,27,13,2.558815849
460,1,27,14,2.917175249
461,1,27,15,2.370158496
462,1,27,16,2.229320353
463,1,27,17,2.626403353
464,1,27,18,2.091132976
465,1,27,19,2.340827789
466,1,27,20,2.909667935
467,1,27,21,2.180538187
468,1,27,22,0.698840443
469,1,27,23,2.814382821
