,run,id,block,ACC
212,1,9,7,0.28125
213,1,9,8,0.25
214,1,9,9,0.3125
215,1,9,10,0.25
216,1,9,11,0.34375
217,1,9,12,0.5
218,1,9,13,0.46875
219,1,9,14,0.40625
220,1,9,15,0.3125
221,1,9,16,0.46875
222,1,9,17,0.5
223,1,9,18,0.53125
224,1,9,19,0.5
225,1,9,20,0.59375
226,1,9,21,0.75
227,1,9,22,0.71875
228,1,9,23,0.75
229,1,9,24,0.84375
230,1,9,25,0.875
231,1,9,26,0.90625
232,1,9,27,0.90625
233,1,9,28,0.96875
234,1,9,29,1
235,1,9,30,1
236,1,9,31,0.96875
237,1,9,32,1
238,1,9,33,1
239,1,9,34,1
240,1,9,35,1
241,1,10,1,0.21875
242,1,10,2,0.25
243,1,10,3,0.3125
244,1,10,4,0.34375
245,1,10,5,0.46875
246,1,10,6,0.53125
247,1,10,7,0.5625
248,1,10,8,0.59375
249,1,10,9,0.6875
250,1,10,10,0.6875
251,1,10,11,0.59375
252,1,10,12,0.75
253,1,10,13,0.6875
254,1,10,14,0.78125
255,1,10,15,0.8125
256,1,10,16,0.875
257,1,10,17,0.90625
258,1,10,18,0.90625
259,1,10,19,0.9375
260,1,10,20,0.9375
261,1,10,21,1
262,1,10,22,1
263,1,10,23,1
264,1,10,24,1
265,1,10,25,1
266,1,11,1,0.125
267,1,11,2,0.3125
268,1,11,3,0.5
269,1,11,4,0.5
270,1,11,5,0.5
271,1,11,6,0.65625
272,1,11,7,0.65625
273,1,11,8,0.84375
274,1,11,9,0.9375
275,1,11,10,1
276,1,15,1,0.125
277,1,15,2,0.53125
278,1,15,3,0.59375
279,1,15,4,0.6875
280,1,15,5,0.78125
281,1,15,6,0.90625
282,1,15,7,0.9375
283,1,15,8,0.96875
284,1,15,9,0.9375
285,1,15,10,1
286,1,15,11,1
287,1,15,12,1
288,1,17,1,0.40625
289,1,17,2,0.4375
290,1,17,3,0.5
291,1,17,4,0.46875
292,1,17,5,0.625
293,1,17,6,0.625
294,1,17,7,0.625
295,1,17,8,0.625
296,1,17,9,0.5625
297,1,17,10,0.71875
298,1,17,11,0.65625
299,1,17,12,0.8125
300,1,17,13,0.78125
301,1,17,14,0.8125
302,1,17,15,0.90625
303,1,17,16,0.96875
304,1,18,1,0.3125
305,1,18,2,0.3125
306,1,18,3,0.25
307,1,18,4,0.34375
308,1,18,5,0.46875
309,1,18,6,0.59375
310,1,18,7,0.75
311,1,18,8,0.71875
312,1,18,9,0.84375
313,1,18,10,0.84375
314,1,18,11,1
315,1,19,1,0.3125
316,1,19,2,0.375
317,1,19,3,0.34375
318,1,19,4,0.59375
319,1,19,5,0.5625
320,1,19,6,0.53125
321,1,19,7,0.5
322,1,19,8,0.59375
323,1,19,9,0.71875
324,1,19,10,0.875
325,1,19,11,0.78125
326,1,19,12,0.84375
327,1,19,13,0.875
328,1,19,14,0.9375
329,1,19,15,1
330,1,19,16,1
331,1,21,1,0.125
332,1,21,2,0.28125
333,1,21,3,0.40625
334,1,21,4,0.46875
335,1,21,5,0.5
336,1,21,6,0.53125
337,1,21,7,0.5
338,1,21,8,0.59375
339,1,21,9,0.5625
340,1,21,10,0.625
341,1,21,11,0.78125
342,1,21,12,0.78125
343,1,21,13,0.90625
344,1,21,14,0.9375
