family,region,neural_condition,behavior_task,behavior_definition,behavior_variable,n,r,p_parametric,p_permutation,p_fwe_max,survives_fwe_05
representational_warping,HCl,attention,rbCue,raw,rbCue_raw_attention,24,0.09054418309,0.6739299125,0.6745932541,1,False
representational_warping,MFGl,attention,rbCue,adjusted,rbCue_adjusted_attention,24,-0.09085599319,0.672867647,0.6762732373,1,False
representational_warping,Amyr,attention,wCue,adjusted,wCue_adjusted_attention,24,-0.09133242848,0.6712457137,0.676803232,1,False
representational_warping,precuneusr,attention,wCue,raw,wCue_raw_attention,24,-0.08475579383,0.6937575769,0.6933630664,1,False
representational_warping,Amyr,attention,rbCue,raw,rbCue_raw_attention,24,-0.0841661231,0.6957886955,0.6961130389,1,False
representational_warping,EC_bilateral,attention,wCue,adjusted,wCue_adjusted_attention,24,0.08370025653,0.6973948083,0.698803012,1,False
representational_warping,MFGr,attention,rbCue,adjusted,rbCue_adjusted_attention,24,-0.08352624075,0.6979950659,0.7031629684,1,False
representational_warping,MFGl,attention,wCue,raw,wCue_raw_attention,24,0.08182913923,0.703858287,0.70400296,1,False
representational_warping,IPL_bilateral,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.08087138697,0.7071744378,0.7063629364,1,False
representational_warping,Insular,attention,wCue,adjusted,wCue_adjusted_attention,24,0.08103342378,0.7066130314,0.707102929,1,False
representational_warping,MFGr,attention,rbCue,raw,rbCue_raw_attention,24,-0.06971906722,0.7461552333,0.7464425356,1,False
representational_warping,precuneusl,attention,wCue,adjusted,wCue_adjusted_attention,24,-0.06730790612,0.7546667708,0.7539124609,1,False
representational_warping,precuneus_bilateral,attention,rbCue,adjusted,rbCue_adjusted_attention,24,-0.064520962,0.7645394184,0.7666623334,1,False
representational_warping,ECr,attention,wCue,adjusted,wCue_adjusted_attention,24,-0.06400380346,0.7663754052,0.7678223218,1,False
representational_warping,precuneusl,attention,wCue,raw,wCue_raw_attention,24,0.06187376274,0.7739501234,0.7697623024,1,False
representational_warping,mPFC,attention,wCue,adjusted,wCue_adjusted_attention,24,-0.06206182005,0.7732805486,0.7725822742,1,False
representational_warping,precuneusl,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.06192627577,0.7737631359,0.7769822302,1,False
representational_warping,Insulal,congruent,wCue,raw,wCue_raw_congruent,24,-0.05646867159,0.7932599632,0.7873821262,1,False
representational_warping,HCl,attention,wCue,adjusted,wCue_adjusted_attention,24,0.05743551539,0.7897968674,0.7890921091,1,False
representational_warping,Insular,congruent,wCue,raw,wCue_raw_congruent,24,0.05642229779,0.7934261634,0.7891721083,1,False
representational_warping,HCl,attention,rbCue,adjusted,rbCue_adjusted_attention,24,-0.0581653177,0.7871853712,0.7898221018,1,False
representational_warping,precuneus_bilateral,congruent,rbCue,raw,rbCue_raw_congruent,24,0.05693852667,0.7915765319,0.7933920661,1,False
representational_warping,MFGr,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.05702219671,0.7912768472,0.7939820602,1,False
representational_warping,precuneus_bilateral,attention,wCue,adjusted,wCue_adjusted_attention,24,0.05594487694,0.7951377097,0.794702053,1,False
representational_warping,HCr,congruent,rbCue,raw,rbCue_raw_congruent,24,0.05508870853,0.7982093528,0.7963920361,1,False
representational_warping,mPFC,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.0552139001,0.7977600252,0.7982220178,1,False
representational_warping,MFGr,attention,wCue,adjusted,wCue_adjusted_attention,24,-0.05340455978,0.8042599549,0.804501955,1,False
representational_warping,ECl,congruent,rbCue,raw,rbCue_raw_congruent,24,-0.05331153054,0.8045945003,0.8061419386,1,False
representational_warping,Amyl,attention,rbCue,adjusted,rbCue_adjusted_attention,24,-0.0513064999,0.8118128507,0.8062819372,1,False
representational_warping,MFG_bilateral,attention,rbCue,raw,rbCue_raw_attention,24,0.05228248693,0.8082972843,0.8063519365,1,False
representational_warping,precuneus,attention,rbCue,raw,rbCue_raw_attention,24,-0.05036575518,0.8152048157,0.8150118499,1,False
representational_warping,precuneus,congruent,rbCue,raw,rbCue_raw_congruent,24,0.05102888003,0.8128135029,0.8151418486,1,False
representational_warping,IPLl,congruent,rbCue,raw,rbCue_raw_congruent,24,-0.04942752713,0.8185909178,0.8162318377,1,False
representational_warping,precuneus,attention,wCue,raw,wCue_raw_attention,24,-0.04834236135,0.8225112484,0.8216617834,1,False
representational_warping,EC_bilateral,congruent,rbCue,raw,rbCue_raw_congruent,24,0.0483810299,0.8223714808,0.8229717703,1,False
representational_warping,MFGl,congruent,wCue,adjusted,wCue_adjusted_congruent,24,0.04477916124,0.835412398,0.8348316517,1,False
