family,task,region,neural_condition,behavior_variable,behavior_definition,n,r,p_parametric,p_permutation,p_fwe_global,survives_global_fwe_05
time_resolved_roi_coding,rbCue,chrel_putamen_l,F2_D,irrel,choice_effect_legacy_gaussian_glm,24,0.1774851967,0.4067102529,0.4058359416,1,False
time_resolved_roi_coding,rbCue,chirrel_precuences,F1_rel,rel,choice_effect_legacy_gaussian_glm,24,0.1755717412,0.4118690212,0.4137858621,1,False
time_resolved_roi_coding,rbCue,D_precuneus_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.173874033,0.4164761763,0.4170558294,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F2_I,irrel,choice_effect_legacy_gaussian_glm,24,0.1738042107,0.4166662596,0.4184858151,1,False
time_resolved_roi_coding,rbCue,F2rel_precnetral_l,F2_I,rel,choice_effect_legacy_gaussian_glm,24,0.1676442551,0.4336223156,0.434595654,1,False
time_resolved_roi_coding,wCue,undiagdiff_precuneus,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.16621172,0.4376179785,0.4364756352,1,False
time_resolved_roi_coding,rbCue,F2rel_precnetral_l,F1_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.1640031324,0.4438166317,0.4439655603,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F1_rel,rel,choice_effect_legacy_gaussian_glm,24,0.1639892988,0.4438556037,0.444495555,1,False
time_resolved_roi_coding,wCue,F2diagdiff_insula_l,F1_diag,diag,choice_effect_legacy_gaussian_glm,24,-0.1607312018,0.4530847217,0.4490455095,1,False
time_resolved_roi_coding,rbCue,D_IPL_l,F2_I,irrel,choice_effect_legacy_gaussian_glm,24,0.1606455548,0.4533286818,0.4541654583,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F1_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.1589252199,0.4582435172,0.4554654453,1,False
time_resolved_roi_coding,rbCue,unrel_IFG_l,F2_D,irrel,choice_effect_legacy_gaussian_glm,24,0.1567632656,0.4644592042,0.4673153268,1,False
time_resolved_roi_coding,rbCue,unrel_MFG_l,F2_D,irrel,choice_effect_legacy_gaussian_glm,24,0.1567632656,0.4644592042,0.4673153268,1,False
time_resolved_roi_coding,wCue,chdiag_PCG_l,F1_diag,diag,choice_effect_legacy_gaussian_glm,24,-0.1520724767,0.4780939679,0.4767252327,1,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.1498048595,0.4847574157,0.4842151578,1,False
time_resolved_roi_coding,rbCue,D_IFG_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.1488949381,0.4874443303,0.4872751272,1,False
time_resolved_roi_coding,rbCue,D_IPL_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.1474454988,0.4917397784,0.491295087,1,False
time_resolved_roi_coding,rbCue,chirrel_precuences,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.1438278526,0.5025425731,0.5050149499,1,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F2_I,rel,choice_effect_legacy_gaussian_glm,24,0.1394613095,0.5157352209,0.5163948361,1,False
time_resolved_roi_coding,rbCue,D_precuneus_l,F1_irrel,irrel,choice_effect_legacy_gaussian_glm,24,-0.1382286324,0.5194894987,0.5195148049,1,False
time_resolved_roi_coding,rbCue,D_insular,F1_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.1375934396,0.5214291665,0.5225547745,1,False
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F2_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.1295582147,0.546261145,0.547704523,1,False
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F2_D,irrel,choice_effect_legacy_gaussian_glm,24,0.1257513149,0.5582128856,0.5574444256,1,False
time_resolved_roi_coding,rbCue,D_IFG_l,F2_I,rel,choice_effect_legacy_gaussian_glm,24,0.1255126515,0.5589660863,0.5597444026,1,False
time_resolved_roi_coding,rbCue,chrel_putamen_l,F1_rel,rel,choice_effect_legacy_gaussian_glm,24,0.1202283388,0.5757592653,0.5790742093,1,False
time_resolved_roi_coding,wCue,chdiagdiff_HC_l,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.1165043115,0.5877252794,0.5862441376,1,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F2_D,irrel,choice_effect_legacy_gaussian_glm,24,0.1140895132,0.5955411543,0.5963940361,1,False
time_resolved_roi_coding,rbCue,F2rel_precnetral_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,-0.1134539568,0.5976055351,0.5987940121,1,False
time_resolved_roi_coding,rbCue,F2rel_precnetral_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.1147438854,0.5934188241,0.5992440076,1,False
time_resolved_roi_coding,rbCue,D_IPL_l,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.1121696736,0.6017862743,0.6039739603,1,False
time_resolved_roi_coding,rbCue,chrel_putamen_l,F2_I,irrel,choice_effect_legacy_gaussian_glm,24,0.1096724373,0.609950425,0.6074739253,1,False
time_resolved_roi_coding,rbCue,unrel_IFG_l,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,0.1096641609,0.6099775591,0.6079439206,1,False
time_resolved_roi_coding,rbCue,unrel_MFG_l,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,0.1096641609,0.6099775591,0.6079439206,1,False
time_resolved_roi_coding,rbCue,D_IPL_l,F1_rel,rel,choice_effect_legacy_gaussian_glm,24,0.1103843375,0.6076183675,0.6088439116,1,False
time_resolved_roi_coding,rbCue,D_insular,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.1099203648,0.6091378394,0.6104238958,1,False
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.1087737977,0.6128994725,0.6141738583,1,False
time_resolved_roi_coding,wCue,undiagdiff_insula_r,F1_diag,diag,choice_effect_legacy_gaussian_glm,24,-0.1059685992,0.6221426321,0.6220237798,1,False
time_resolved_roi_coding,rbCue,unrel_IFG_l,F1_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.09978084275,0.6427267662,0.6400235998,1,False
time_resolved_roi_coding,rbCue,unrel_MFG_l,F1_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.09978084275,0.6427267662,0.6400235998,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F2_D,irrel,choice_effect_legacy_gaussian_glm,24,0.09945825002,0.643807099,0.6450235498,1,False
time_resolved_roi_coding,rbCue,chrel_putamen_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.09892274037,0.6456020161,0.6456835432,1,False
time_resolved_roi_coding,rbCue,F2rel_precnetral_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.09834565296,0.6475384441,0.6459535405,1,False
time_resolved_roi_coding,rbCue,D_precuneus_l,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.09903883762,0.6452127188,0.6464935351,1,False
time_resolved_roi_coding,rbCue,chirrel_precuences,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.09836962906,0.6474579475,0.6509634904,1,False
time_resolved_roi_coding,rbCue,D_insular,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.09539709158,0.6574668283,0.6555234448,1,False
time_resolved_roi_coding,rbCue,F2rel_precnetral_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.09518848433,0.658171408,0.6559934401,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.09412982946,0.6617514017,0.6608133919,1,False
time_resolved_roi_coding,rbCue,D_IFG_l,F1_rel,rel,choice_effect_legacy_gaussian_glm,24,0.09409065539,0.6618840132,0.6629833702,1,False
time_resolved_roi_coding,rbCue,D_insular,F2_D,irrel,choice_effect_legacy_gaussian_glm,24,0.09221207942,0.6682548526,0.66700333,1,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.09181935056,0.6695895503,0.6697533025,1,False
time_resolved_roi_coding,rbCue,D_insular,F1_irrel,irrel,choice_effect_legacy_gaussian_glm,24,-0.08766526722,0.6837660645,0.6815631844,1,False
time_resolved_roi_coding,rbCue,D_IPL_l,F2_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.0879181514,0.6829000261,0.6833231668,1,False
time_resolved_roi_coding,rbCue,D_IFG_l,F1_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.08608363139,0.6891913474,0.6893131069,1,False
time_resolved_roi_coding,rbCue,D_precuneus_l,F2_I,irrel,choice_effect_legacy_gaussian_glm,24,0.08626702088,0.6885615215,0.6910830892,1,False
time_resolved_roi_coding,rbCue,chrel_putamen_l,F2_I,rel,choice_effect_legacy_gaussian_glm,24,-0.08178460694,0.7040123615,0.7023229768,1,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F2_I,irrel,choice_effect_legacy_gaussian_glm,24,0.08299918109,0.6998141992,0.7048929511,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F2_D,irrel,choice_effect_legacy_gaussian_glm,24,0.08211907278,0.7028554407,0.7075129249,1,False
time_resolved_roi_coding,rbCue,D_precuneus_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.07955844618,0.7117288029,0.7096929031,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F2_I,rel,choice_effect_legacy_gaussian_glm,24,0.07836682316,0.7158706389,0.7170828292,1,False
time_resolved_roi_coding,rbCue,unrel_IFG_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,-0.0772936155,0.7196075585,0.7210927891,1,False
time_resolved_roi_coding,rbCue,unrel_MFG_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,-0.0772936155,0.7196075585,0.7210927891,1,False
time_resolved_roi_coding,wCue,undiagdiff_IFG_l,F1_diag,diag,choice_effect_legacy_gaussian_glm,24,-0.07610674198,0.7237475293,0.7211527885,1,False
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F2_I,rel,choice_effect_legacy_gaussian_glm,24,0.07361180704,0.7324746141,0.7349826502,1,False
time_resolved_roi_coding,wCue,chdiag_PCG_l,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.0715556172,0.7396913185,0.7382126179,1,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.06757042021,0.7537387161,0.7540124599,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F2_irrel,irrel,choice_effect_legacy_gaussian_glm,24,-0.06608067864,0.7590096868,0.7611423886,1,False
time_resolved_roi_coding,rbCue,D_IFG_l,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,0.063645585,0.7676478482,0.7671123289,1,False
time_resolved_roi_coding,wCue,chdiagdiff_HC_l,F2_diagdiff,diag,choice_effect_legacy_gaussian_glm,24,0.06334739405,0.7687075095,0.7686923131,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F2_I,rel,choice_effect_legacy_gaussian_glm,24,0.06071614435,0.7780752322,0.7775422246,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.05917657426,0.783570411,0.7820821792,1,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F1_irrel,irrel,choice_effect_legacy_gaussian_glm,24,-0.05886357646,0.7846888304,0.782802172,1,False
