family,task,region,neural_condition,behavior_variable,behavior_definition,n,r,p_parametric,p_permutation,p_fwe_global,survives_global_fwe_05
representational_warping,wCue,ECr,attention,wCue_raw_attention,raw,24,-0.2761073742,0.1915537999,0.1914780852,1,False
representational_warping,wCue,IPLr,congruent,wCue_raw_congruent,raw,24,0.2687012766,0.2042294227,0.1929180708,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.2742257647,0.1947219039,0.1939480605,1,False
time_resolved_roi_coding,wCue,undiagdiff_insula_r,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.2728036218,0.1971399773,0.1939680603,1,False
representational_warping,rbCue,MFGl,congruent,rbCue_adjusted_congruent,adjusted,24,-0.2726758702,0.1973581894,0.1986280137,1,False
representational_warping,wCue,IPL_bilateral,congruent,wCue_raw_congruent,raw,24,0.2660435126,0.2089133553,0.2023179768,1,False
time_resolved_roi_coding,wCue,undiagdiff_insula_l,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.2667451365,0.2076698754,0.2052779472,1,False
representational_warping,rbCue,IPL_bilateral,congruent,rbCue_adjusted_congruent,adjusted,24,-0.271219623,0.1998572201,0.206097939,1,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F2_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.2678999014,0.2056341854,0.2071079289,1,False
representational_warping,rbCue,IPLr,congruent,rbCue_adjusted_congruent,adjusted,24,-0.2706527577,0.2008357875,0.2096779032,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,-0.2659202208,0.2091323809,0.2099079009,1,False
time_resolved_roi_coding,rbCue,D_IFG_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.2631658081,0.2140659002,0.2107478925,1,False
representational_warping,wCue,ECr,congruent,wCue_raw_congruent,raw,24,0.2629183691,0.2145128834,0.2137578624,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F2_I,irrel,choice_effect_legacy_gaussian_glm,24,0.260606567,0.2187192442,0.2197778022,1,False
representational_warping,wCue,mPFC,congruent,wCue_raw_congruent,raw,24,0.25553699,0.2281352258,0.2210077899,1,False
time_resolved_roi_coding,wCue,F2diagdiff_insula_l,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.2556145448,0.2279891895,0.224597754,1,False
representational_warping,rbCue,IPLr,attention,rbCue_raw_attention,raw,24,0.256820703,0.2257259526,0.2249777502,1,False
representational_warping,wCue,HCl,congruent,wCue_adjusted_congruent,adjusted,24,-0.2549548441,0.229233389,0.2267277327,1,False
time_resolved_roi_coding,rbCue,unrel_IFG_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.256089485,0.2270962239,0.2271777282,1,False
time_resolved_roi_coding,rbCue,unrel_MFG_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.256089485,0.2270962239,0.2271777282,1,False
representational_warping,rbCue,precuneusl,congruent,rbCue_adjusted_congruent,adjusted,24,-0.2581423131,0.2232632595,0.2289377106,1,False
time_resolved_roi_coding,rbCue,chirrel_precuences,F2_I,rel,choice_effect_legacy_gaussian_glm,24,-0.2532844314,0.2324038571,0.2320876791,1,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.256419796,0.226476554,0.2354576454,1,False
representational_warping,wCue,precuneusl,congruent,wCue_raw_congruent,raw,24,0.2462715379,0.2460291447,0.2361076389,1,False
representational_warping,rbCue,mPFC,attention,rbCue_raw_attention,raw,24,0.25059027,0.2375781122,0.2371476285,1,False
time_resolved_roi_coding,rbCue,D_IPL_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.2473518161,0.2438970915,0.2421675783,1,False
representational_warping,rbCue,Amyl,congruent,rbCue_raw_congruent,raw,24,0.2484780739,0.2416871782,0.2434475655,1,False
representational_warping,wCue,precuneusr,congruent,wCue_adjusted_congruent,adjusted,24,-0.24466572,0.2492207952,0.2489875101,1,False
representational_warping,wCue,HCr,congruent,wCue_adjusted_congruent,adjusted,24,-0.2423456287,0.2538794202,0.2521474785,1,False
time_resolved_roi_coding,rbCue,unrel_IFG_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.242300481,0.2539706295,0.2543774562,1,False
time_resolved_roi_coding,rbCue,unrel_MFG_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.242300481,0.2539706295,0.2543774562,1,False
representational_warping,wCue,ECl,attention,wCue_adjusted_attention,adjusted,24,0.2405574952,0.2575081027,0.2555374446,1,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.234319272,0.270428183,0.2661073389,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.235059998,0.2688728281,0.2684773152,1,False
representational_warping,wCue,Insulal,congruent,wCue_adjusted_congruent,adjusted,24,0.2305087527,0.2785198668,0.2789272107,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.2284866709,0.2828753189,0.2801671983,1,False
representational_warping,wCue,HCl,attention,wCue_raw_attention,raw,24,-0.2293707892,0.2809657272,0.2815371846,1,False
representational_warping,rbCue,precuneusr,attention,rbCue_raw_attention,raw,24,-0.2272815264,0.2854914274,0.2833771662,1,False
representational_warping,rbCue,ECl,congruent,rbCue_adjusted_congruent,adjusted,24,-0.2266047374,0.2869672359,0.2853871461,1,False
time_resolved_roi_coding,rbCue,F2rel_precnetral_l,F2_D,irrel,choice_effect_legacy_gaussian_glm,24,0.2250752561,0.2903200328,0.2918370816,1,False
representational_warping,wCue,precuneusr,attention,wCue_adjusted_attention,adjusted,24,0.2151713629,0.3126206771,0.3115168848,1,False
representational_warping,rbCue,HCr,attention,rbCue_raw_attention,raw,24,0.2145482138,0.3140579647,0.3141068589,1,False
representational_warping,wCue,HCl,congruent,wCue_raw_congruent,raw,24,0.2073556967,0.3309390074,0.3222267777,1,False
representational_warping,rbCue,mPFC,attention,rbCue_adjusted_attention,adjusted,24,-0.21237576,0.3191002468,0.323596764,1,False
time_resolved_roi_coding,wCue,undiagdiff_insula_l,F1_diag,diag,choice_effect_legacy_gaussian_glm,24,-0.2079752971,0.3294637023,0.3264567354,1,False
representational_warping,wCue,Amy_bilateral,attention,wCue_raw_attention,raw,24,-0.2105566197,0.3233601537,0.3266667333,1,False
