"","id","roi","model","TR","var","LL"
"375",21,"Hippo_L","I",1112,0.126534279942369,-428.473085893456
"376",21,"Hippo_R","I",1112,0.108684115326836,-343.923495376824
"379",21,"mPFC","I",1112,0.270553591044378,-851.009143412234
"381",22,"Amy_L","I",1112,0.347989388729149,-990.955338666018
"382",22,"Amy_R","I",1112,0.258379814218268,-825.411155491249
"383",22,"EC_L","I",1112,3.77008956151888,-2315.72655812073
"384",22,"EC_R","I",1112,1.71743629305915,-1878.56260320948
"385",22,"Hippo_L","I",1112,0.235228101146267,-773.216675531486
"386",22,"Hippo_R","I",1112,0.213666550147511,-719.763356153576
"389",22,"mPFC","I",1112,0.692726737070899,-1373.74110886891
"391",23,"Amy_L","I",1112,0.24975336727302,-806.531202216438
"392",23,"Amy_R","I",1112,0.151708274926469,-529.357158464663
"393",23,"EC_L","I",1112,1.31356042152967,-1729.50382811933
"394",23,"EC_R","I",1112,0.35206134003313,-997.423528371521
"395",23,"Hippo_L","I",1112,0.0549212992032076,35.5711984709534
"396",23,"Hippo_R","I",1112,0.0581789737542605,3.53293453901543
"399",23,"mPFC","I",1112,0.157964172713342,-551.824462107967
"401",24,"Amy_L","I",1112,0.10191569713866,-308.172874744914
"402",24,"Amy_R","I",1112,0.114532918083538,-373.067139184982
"403",24,"EC_L","I",1112,0.794733139097472,-1450.11926343137
"404",24,"EC_R","I",1112,0.271999442390723,-853.972522849971
"405",24,"Hippo_L","I",1112,0.0784884649777176,-162.948842903418
"406",24,"Hippo_R","I",1112,0.0611187374097863,-23.8747926273967
"409",24,"mPFC","I",1112,0.0662996961580586,-69.1147485862396
"411",25,"Amy_L","I",1112,0.289930004906276,-889.467293298941
"412",25,"Amy_R","I",1112,0.194353269699123,-667.088393203132
"413",25,"EC_L","I",1112,0.869149735338144,-1499.88628625143
"414",25,"EC_R","I",1112,0.522095085498019,-1216.51216225544
"415",25,"Hippo_L","I",1112,0.18288324411463,-633.267167851088
"416",25,"Hippo_R","I",1112,0.0809004326106695,-179.777573177112
"419",25,"mPFC","I",1112,0.128889104132415,-438.725235285681
"421",26,"Amy_L","I",1112,0.134132887317225,-460.897752557334
"422",26,"Amy_R","I",1112,0.595613145481909,-1289.76051639507
"423",26,"EC_L","I",1112,0.350821380530731,-995.461840657947
"424",26,"EC_R","I",1112,0.294622825645053,-898.394679330526
"425",26,"Hippo_L","I",1112,0.06960562779498,-96.1697691057962
"426",26,"Hippo_R","I",1112,0.077231057945546,-153.9694485133
"429",26,"mPFC","I",1112,0.151190692700365,-527.457013343285
"431",27,"Amy_L","I",1112,0.166314605903927,-580.465667119277
"432",27,"Amy_R","I",1112,0.364998401470008,-1017.48820737503
"433",27,"EC_L","I",1112,3.56288271067016,-2284.29655078764
"434",27,"EC_R","I",1112,0.60922069709767,-1302.32012444525
"435",27,"Hippo_L","I",1112,0.184863157560117,-639.254133364701
"436",27,"Hippo_R","I",1112,0.196349700435199,-672.770587787141
"439",27,"mPFC","I",1112,0.863026864314711,-1495.95558949862
"441",28,"Amy_L","I",1112,0.237665053437053,-778.947177040592
"442",28,"Amy_R","I",1112,0.19069339854814,-656.5185074628
"443",28,"EC_L","I",1112,2.49061856745842,-2085.22694068558
"444",28,"EC_R","I",1112,0.416087352013308,-1090.32545558443
"445",28,"Hippo_L","I",1112,0.346159510329931,-988.023936633653
"446",28,"Hippo_R","I",1112,0.155792788174663,-544.128638723703
"449",28,"mPFC","I",1112,0.115285653654598,-376.709338081011
"451",29,"Amy_L","I",1112,0.0962166311895027,-276.178550418668
"452",29,"Amy_R","I",1112,0.0614027207344243,-26.4522188781865
"453",29,"EC_L","I",1112,0.438271591951283,-1119.20608169381
"454",29,"EC_R","I",1112,0.146304619674044,-509.191845450813
"455",29,"Hippo_L","I",1112,0.0637626640584843,-47.4210196209829
"456",29,"Hippo_R","I",1112,0.0381066919275208,238.795497424852
"459",29,"mPFC","I",1112,0.0558608322176838,26.1402031633859
"461",30,"Amy_L","I",1112,0.149312944764125,-520.508402338089
"462",30,"Amy_R","I",1112,0.223660841942494,-745.180441933632
"463",30,"EC_L","I",1112,0.684280412588179,-1366.92020701564
"464",30,"EC_R","I",1112,0.35180265291221,-997.014841332124
"465",30,"Hippo_L","I",1112,0.0905001678235835,-242.123261849798
"466",30,"Hippo_R","I",1112,0.0462656380414612,130.926149387423
"469",30,"mPFC","I",1112,0.057904160388871,6.16547056993143
"471",31,"Amy_L","I",1112,0.283416687886855,-876.834238620654
"472",31,"Amy_R","I",1112,0.849374006653848,-1487.08949997319
"473",31,"EC_L","I",1112,1.38877985820261,-1760.46426128243
"474",31,"EC_R","I",1112,0.651365093510951,-1339.51080313007
"475",31,"Hippo_L","I",1112,0.0627774176046082,-38.7627653957795
"476",31,"Hippo_R","I",1112,0.0628718600886372,-39.5985844625146
