"","id","roi","model","TR","var","LL"
"195",27,"Hippo_L","D1",547,0.166794444632366,-286.322766133007
"196",27,"Hippo_R","D1",547,0.219898920537937,-361.919753763029
"199",27,"mPFC","D1",547,0.768995395011471,-704.319051221221
"201",28,"Amy_L","D1",547,0.115877032144045,-186.705143825864
"202",28,"Amy_R","D1",547,0.15991033007784,-274.795024836787
"203",28,"EC_L","D1",547,2.6118147632041,-1038.73176483076
"204",28,"EC_R","D1",547,0.425900168721074,-542.713368998979
"205",28,"Hippo_L","D1",547,0.0620059276876744,-15.6857106725139
"206",28,"Hippo_R","D1",547,0.0744579034815417,-65.7372837231438
"209",28,"mPFC","D1",547,0.101421513027988,-150.262818909056
"211",29,"Amy_L","D1",547,0.112369298676528,-178.298080819302
"212",29,"Amy_R","D1",547,0.116219204356994,-187.511569379791
"213",29,"EC_L","D1",547,1.04884421491143,-789.202267252202
"214",29,"EC_R","D1",547,0.348144065231862,-487.578887330713
"215",29,"Hippo_L","D1",547,0.0602446763557625,-7.80459508476193
"216",29,"Hippo_R","D1",547,0.0529606403332587,27.4400389711947
"219",29,"mPFC","D1",547,0.224293363067637,-367.331460761603
"221",30,"Amy_L","D1",547,0.153782540387445,-264.108370067297
"222",30,"Amy_R","D1",547,0.194953782890242,-328.988857986429
"223",30,"EC_L","D1",547,0.715255867368131,-684.50544052147
"224",30,"EC_R","D1",547,0.267112219263232,-415.115743976624
"225",30,"Hippo_L","D1",547,0.0740893753123742,-64.3802388567377
"226",30,"Hippo_R","D1",547,0.0533958448037996,25.201734708266
"229",30,"mPFC","D1",547,0.0508264097720363,38.6898886372506
"231",31,"Amy_L","D1",547,0.302834536933094,-449.444836747185
"232",31,"Amy_R","D1",547,0.417185239786879,-537.058857746966
"233",31,"EC_L","D1",547,1.96260687552227,-960.573214936394
"234",31,"EC_R","D1",547,0.619571575681719,-645.227530373187
"235",31,"Hippo_L","D1",547,0.111919250590775,-177.20049186925
"236",31,"Hippo_R","D1",547,0.0730442872008939,-60.4948410393376
"239",31,"mPFC","D1",547,0.166939052952231,-286.55978386269
"241",1,"Amy_L","D2",540,0.12158666310618,-197.302249586079
"242",1,"Amy_R","D2",540,0.171241041679721,-289.76236699733
"243",1,"EC_L","D2",540,2.35419289316343,-997.400253944847
"244",1,"EC_R","D2",540,0.898405090130623,-737.300571284314
"245",1,"Hippo_L","D2",540,0.0940597193111646,-127.993953544108
"246",1,"Hippo_R","D2",540,0.0916813258354029,-121.078935498018
"249",1,"mPFC","D2",540,0.211510385530295,-346.786889994933
"251",2,"Amy_L","D2",540,0.23663355820435,-377.091332306205
"252",2,"Amy_R","D2",540,0.217358760272265,-354.151183219238
"253",2,"EC_L","D2",540,0.696151224233989,-668.435949096885
"254",2,"EC_R","D2",540,0.805253387019691,-707.745271086346
"255",2,"Hippo_L","D2",540,0.105703163897175,-159.504285417513
